dataset,sta,freq_hz,snr
main,A01F,6.6687,3803.473
main,A01F,6.8643,3863.105
main,A01F,7.0656,3824.287
main,A01F,7.2728,3721.493
main,A01F,7.4860,3557.119
main,A01F,7.7056,3551.239
main,A01F,7.9315,3441.355
main,A01F,8.1641,3360.133
main,A01F,8.4035,3174.776
main,A01F,8.6499,3043.536
main,A01F,8.9036,2860.147
main,A01F,9.1647,2773.735
main,A01F,9.4334,2595.752
main,A01F,9.7101,2505.966
main,A01F,9.9948,2360.329
main,A01F,10.2879,2188.953
main,A01F,10.5896,2014.600
main,A01F,10.9001,1898.169
main,A01F,11.2198,1797.438
main,A01F,11.5488,1685.437
main,A01F,11.8874,1579.408
main,A01F,12.2360,1497.015
main,A01F,12.5949,1412.055
main,A01F,12.9642,1334.741
main,A01F,13.3444,1262.724
main,A01F,13.7357,1209.384
main,A01F,14.1385,1189.269
main,A01F,14.5531,1194.015
main,A01F,14.9798,1190.337
main,A01F,15.4191,1173.521
main,A01F,15.8713,1195.256
main,A01F,16.3367,1184.258
main,A01F,16.8157,1132.312
main,A01F,17.3089,1115.310
main,A01F,17.8164,1060.549
main,A01F,18.3389,1009.507
main,A01F,18.8767,934.507
main,A01F,19.4302,861.318
main,A01F,20.0000,785.185
main,A02F,0.0200,48.928
main,A02F,0.0206,48.928
main,A02F,0.0318,43.122
main,A02F,0.0327,43.122
main,A02F,0.0336,43.122
main,A02F,0.0346,43.122
main,A02F,0.0357,43.122
main,A02F,0.0367,43.122
main,A02F,0.0389,51.053
main,A02F,0.0400,51.053
main,A02F,0.0412,51.053
main,A02F,0.0490,106.931
main,A02F,0.0504,150.347
main,A02F,0.0519,150.347
main,A02F,0.0534,150.347
main,A02F,0.0550,150.347
main,A02F,0.0566,150.347
main,A02F,0.0583,111.320
main,A02F,0.0600,111.320
main,A02F,0.0617,111.320
main,A02F,0.0636,52.355
main,A02F,0.0654,52.355
main,A02F,0.0673,75.543
main,A02F,0.0693,75.543
main,A02F,0.0713,75.543
main,A02F,0.0734,75.543
main,A02F,0.0756,98.730
main,A02F,0.0778,140.326
main,A02F,0.0801,172.798
main,A02F,0.0824,172.798
main,A02F,0.0848,272.146
main,A02F,0.0873,299.117
main,A02F,0.0899,364.390
main,A02F,0.0925,364.390
main,A02F,0.0952,266.521
main,A02F,0.0980,266.521
main,A02F,0.1009,262.920
main,A02F,0.1039,262.920
main,A02F,0.1069,273.835
main,A02F,0.1101,273.835
main,A02F,0.1133,347.576
main,A02F,0.1166,444.657
main,A02F,0.1200,444.657
main,A02F,0.1235,560.744
main,A02F,0.1272,477.035
main,A02F,0.1309,477.035
main,A02F,0.1347,580.632
main,A02F,0.1387,674.558
main,A02F,0.1428,1015.353
main,A02F,0.1469,493.668
main,A02F,0.1512,645.551
main,A02F,0.1557,645.551
main,A02F,0.1602,541.352
main,A02F,0.1649,622.476
main,A02F,0.1698,519.506
main,A02F,0.1748,605.887
main,A02F,0.1799,655.806
main,A02F,0.1852,655.806
main,A02F,0.1906,857.533
main,A02F,0.1962,857.533
main,A02F,0.2019,735.090
main,A02F,0.2079,807.111
main,A02F,0.2140,1195.016
main,A02F,0.2202,1147.287
main,A02F,0.2267,1109.564
main,A02F,0.2333,1092.738
main,A02F,0.2402,1005.082
main,A02F,0.2472,1022.608
main,A02F,0.2545,933.551
main,A02F,0.2619,993.075
main,A02F,0.2696,1172.724
main,A02F,0.2775,1448.238
main,A02F,0.2857,1543.101
main,A02F,0.2940,1906.507
main,A02F,0.3027,2212.660
main,A02F,0.3115,2212.660
main,A02F,0.3207,2045.756
main,A02F,0.3301,2240.857
main,A02F,0.3397,2513.905
main,A02F,0.3497,1828.496
main,A02F,0.3600,1894.926
main,A02F,0.3705,2207.081
main,A02F,0.3814,2101.257
main,A02F,0.3926,2197.471
main,A02F,0.4041,2103.533
main,A02F,0.4159,2447.109
main,A02F,0.4281,2430.813
main,A02F,0.4407,2444.536
main,A02F,0.4536,2467.512
main,A02F,0.4669,2989.293
main,A02F,0.4806,3228.173
main,A02F,0.4947,3784.618
main,A02F,0.5092,3898.644
main,A02F,0.5241,4675.112
main,A02F,0.5395,5146.036
main,A02F,0.5553,5364.294
main,A02F,0.5716,5769.854
main,A02F,0.5884,6399.590
main,A02F,0.6056,7153.605
main,A02F,0.6234,7262.016
main,A02F,0.6417,6635.007
main,A02F,0.6605,6788.134
main,A02F,0.6798,7944.605
main,A02F,0.6998,7586.679
main,A02F,0.7203,7846.697
main,A02F,0.7414,7807.974
main,A02F,0.7632,8277.497
main,A02F,0.7855,9379.073
main,A02F,0.8086,9578.849
main,A02F,0.8323,10924.931
main,A02F,0.8567,11331.844
main,A02F,0.8818,11169.366
main,A02F,0.9077,10672.668
main,A02F,0.9343,11475.715
main,A02F,0.9617,10722.804
main,A02F,0.9899,11610.797
main,A02F,1.0189,11680.925
main,A02F,1.0488,11776.977
main,A02F,1.0796,10652.558
main,A02F,1.1112,10561.264
main,A02F,1.1438,10133.669
main,A02F,1.1773,9827.549
main,A02F,1.2119,10777.527
main,A02F,1.2474,10559.908
main,A02F,1.2840,10616.844
main,A02F,1.3216,9918.258
main,A02F,1.3604,9990.938
main,A02F,1.4003,9285.777
main,A02F,1.4414,9271.127
main,A02F,1.4836,9096.235
main,A02F,1.5271,8783.984
main,A02F,1.5719,8310.272
main,A02F,1.6180,7782.482
main,A02F,1.6655,7099.948
main,A02F,1.7143,7292.295
main,A02F,1.7646,7109.348
main,A02F,1.8163,7705.466
main,A02F,1.8696,8118.959
main,A02F,1.9244,8067.025
main,A02F,1.9808,8322.609
main,A02F,2.0389,8717.059
main,A02F,2.0987,8742.147
main,A02F,2.1602,8983.943
main,A02F,2.2236,9361.872
main,A02F,2.2888,9227.579
main,A02F,2.3559,8828.408
main,A02F,2.4250,8465.755
main,A02F,2.4961,8558.197
main,A02F,2.5693,8372.780
main,A02F,2.6447,7807.241
main,A02F,2.7222,7760.068
main,A02F,2.8020,7353.789
main,A02F,2.8842,6962.275
main,A02F,2.9688,7080.094
main,A02F,3.0558,7189.147
main,A02F,3.1454,7151.449
main,A02F,3.2377,7118.084
main,A02F,3.3326,7226.580
main,A02F,3.4304,8225.751
main,A02F,3.5310,8317.681
main,A02F,3.6345,8330.371
main,A02F,3.7411,8524.090
main,A02F,3.8508,8141.045
main,A02F,3.9637,7643.176
main,A02F,4.0799,6945.369
main,A02F,4.1996,6612.775
main,A02F,4.3227,6419.324
main,A02F,4.4495,5863.339
main,A02F,4.5800,4548.864
main,A02F,4.7143,4281.392
main,A02F,4.8525,4056.474
main,A02F,4.9948,3929.769
main,A02F,5.1413,3867.605
main,A02F,5.2921,3685.644
main,A02F,5.4472,3607.356
main,A02F,5.6070,3427.668
main,A02F,5.7714,3173.541
main,A02F,5.9406,2877.669
main,A02F,6.1148,2804.073
main,A02F,6.2942,2775.149
main,A02F,6.4787,2634.246
main,A02F,6.6687,2399.233
main,A02F,6.8643,2303.067
main,A02F,7.0656,2266.561
main,A02F,7.2728,2155.416
main,A02F,7.4860,1416.929
main,A02F,7.7056,1463.905
main,A02F,7.9315,1468.898
main,A02F,8.1641,1535.802
main,A02F,8.4035,1547.229
main,A02F,8.6499,1613.163
main,A02F,8.9036,1783.345
main,A02F,9.1647,1713.245
main,A02F,9.4334,1755.512
main,A02F,9.7101,1714.733
main,A02F,9.9948,2128.844
main,A02F,10.2879,2203.844
main,A02F,10.5896,2157.654
main,A02F,10.9001,2196.266
main,A02F,11.2198,1962.373
main,A02F,11.5488,1729.079
main,A02F,11.8874,1652.403
main,A02F,12.2360,1560.504
main,A02F,12.5949,1424.320
main,A02F,12.9642,1248.236
main,A02F,13.3444,1082.066
main,A02F,13.7357,727.430
main,A02F,14.1385,579.215
main,A02F,14.5531,520.847
main,A02F,14.9798,467.240
main,A02F,15.4191,422.005
main,A02F,15.8713,353.309
main,A02F,16.3367,328.544
main,A02F,16.8157,319.598
main,A02F,17.3089,331.177
main,A02F,17.8164,344.151
main,A02F,18.3389,477.989
main,A02F,18.8767,503.876
main,A02F,19.4302,478.110
main,A02F,20.0000,457.701
main,A03F,0.0200,15.927
main,A03F,0.0206,15.927
main,A03F,0.0212,15.927
main,A03F,0.0327,20.435
main,A03F,0.0336,20.435
main,A03F,0.0346,20.435
main,A03F,0.0357,20.435
main,A03F,0.0367,20.435
main,A03F,0.0389,24.811
main,A03F,0.0400,24.811
main,A03F,0.0412,24.811
main,A03F,0.0424,24.811
main,A03F,0.0490,121.941
main,A03F,0.0504,117.828
main,A03F,0.0519,117.828
main,A03F,0.0534,117.828
main,A03F,0.0550,117.828
main,A03F,0.0566,117.828
main,A03F,0.0583,99.793
main,A03F,0.0600,99.793
main,A03F,0.0617,99.793
main,A03F,0.0636,81.758
main,A03F,0.0654,106.524
main,A03F,0.0673,143.256
main,A03F,0.0693,143.256
main,A03F,0.0713,143.256
main,A03F,0.0734,143.256
main,A03F,0.0756,179.988
main,A03F,0.0778,278.401
main,A03F,0.0801,278.401
main,A03F,0.0824,143.759
main,A03F,0.0848,143.759
main,A03F,0.0873,189.158
main,A03F,0.0899,213.516
main,A03F,0.0925,213.516
main,A03F,0.0952,214.854
main,A03F,0.0980,248.081
main,A03F,0.1009,268.401
main,A03F,0.1039,268.401
main,A03F,0.1069,364.522
main,A03F,0.1101,364.522
main,A03F,0.1133,419.652
main,A03F,0.1166,546.224
main,A03F,0.1200,546.224
main,A03F,0.1235,531.838
main,A03F,0.1272,591.885
main,A03F,0.1309,405.187
main,A03F,0.1347,394.136
main,A03F,0.1387,416.961
main,A03F,0.1428,387.409
main,A03F,0.1469,429.334
main,A03F,0.1512,368.870
main,A03F,0.1557,368.870
main,A03F,0.1602,368.870
main,A03F,0.1649,295.842
main,A03F,0.1698,295.842
main,A03F,0.1748,285.996
main,A03F,0.1799,309.530
main,A03F,0.1852,309.530
main,A03F,0.1906,312.777
main,A03F,0.1962,300.323
main,A03F,0.2019,310.633
main,A03F,0.2079,310.633
main,A03F,0.2140,440.448
main,A03F,0.2202,522.292
main,A03F,0.2267,416.621
main,A03F,0.2333,414.648
main,A03F,0.2402,431.709
main,A03F,0.2472,451.004
main,A03F,0.2545,477.464
main,A03F,0.2619,636.291
main,A03F,0.2696,687.995
main,A03F,0.2775,806.387
main,A03F,0.2857,757.828
main,A03F,0.2940,834.679
main,A03F,0.3027,1314.524
main,A03F,0.3115,1215.671
main,A03F,0.3207,1330.353
main,A03F,0.3301,1580.151
main,A03F,0.3397,1498.842
main,A03F,0.3497,1595.507
main,A03F,0.3600,1579.645
main,A03F,0.3705,1538.335
main,A03F,0.3814,1463.026
main,A03F,0.3926,1341.524
main,A03F,0.4041,1365.249
main,A03F,0.4159,1673.175
main,A03F,0.4281,1538.985
main,A03F,0.4407,1637.669
main,A03F,0.4536,1725.848
main,A03F,0.4669,1837.840
main,A03F,0.4806,1821.377
main,A03F,0.4947,1923.252
main,A03F,0.5092,2023.411
main,A03F,0.5241,2153.161
main,A03F,0.5395,2338.656
main,A03F,0.5553,2395.108
main,A03F,0.5716,2514.768
main,A03F,0.5884,2592.738
main,A03F,0.6056,2572.615
main,A03F,0.6234,2807.959
main,A03F,0.6417,2747.605
main,A03F,0.6605,2660.011
main,A03F,0.6798,2640.523
main,A03F,0.6998,2747.671
main,A03F,0.7203,2361.185
main,A03F,0.7414,2282.986
main,A03F,0.7632,2607.973
main,A03F,0.7855,2965.409
main,A03F,0.8086,3633.499
main,A03F,0.8323,3989.641
main,A03F,0.8567,4470.478
main,A03F,0.8818,4692.362
