sta,lat,lon,dist_km,snrP,snrS,ccP_Z,lagP_s,ccS_T,lagS_s,dt_align_s,valida
PB01,-21.043,-69.487,263.3,1.0,2.2,0.56,8.7,0.77,6.2,0.18,1
PB02,-21.32,-69.896,255.6,1.1,2.4,0.45,-0.8,0.48,5.5,0.53,0
PB03,-22.048,-69.753,182.8,0.5,2.1,0.56,-10.2,0.77,4.7,1.3,1
PB05,-22.853,-70.202,176.8,1.6,2.7,0.78,-1.2,0.66,3.3,2.25,1
PB06,-22.706,-69.572,122.5,3.0,6.9,0.54,-0.1,0.77,3.5,2.36,1
PB09,-21.796,-69.242,176.6,1.2,3.4,0.43,1.4,0.67,5.3,0.85,1
PB19,-23.905,-69.291,106.5,2.7,2.4,0.57,0.8,0.81,-1.0,3.72,1
AF01,-22.952,-68.179,48.6,5.5,6.4,0.49,14.4,0.55,7.5,2.34,1
