sta,lat,lon,dist_km,snrP,snrS,ccP_Z,lagP_s,ccS_T,lagS_s,dt_align_s,valida
PB01,-21.043,-69.487,263.3,1.3,1.5,0.38,9.9,0.26,3.4,0.58,0
PB02,-21.32,-69.896,255.6,0.8,0.6,0.34,-3.0,0.34,6.2,0.61,0
PB03,-22.048,-69.753,182.8,1.6,0.9,0.43,1.1,0.44,9.2,0.77,0
PB05,-22.853,-70.202,176.8,1.2,0.7,0.68,-6.2,0.67,3.9,0.76,1
PB06,-22.706,-69.572,122.5,0.7,0.8,0.52,2.2,0.6,9.1,0.95,1
PB09,-21.796,-69.242,176.6,0.9,0.7,0.45,6.5,0.45,11.2,0.77,0
PB19,-23.905,-69.291,106.5,1.3,1.3,0.63,0.8,0.54,1.1,0.87,1
AF01,-22.952,-68.179,48.6,0.4,0.6,0.38,13.9,0.35,4.8,1.09,0
