sta,lat,lon,dist_km,snrP,snrS,ccP_Z,lagP_s,ccS_T,lagS_s,dt_align_s,valida
PB01,-21.043,-69.487,263.3,1.0,2.2,0.42,9.1,0.71,6.1,0.18,1
PB02,-21.32,-69.896,255.6,1.1,2.4,0.29,-13.2,0.73,5.6,0.53,1
PB03,-22.048,-69.753,182.8,0.5,2.1,0.44,-6.7,0.81,4.7,1.3,1
PB05,-22.853,-70.202,176.8,1.6,2.7,0.73,-0.8,0.5,3.7,2.25,1
PB06,-22.706,-69.572,122.5,3.0,6.9,0.7,-0.1,0.73,3.5,2.36,1
PB09,-21.796,-69.242,176.6,1.2,3.4,0.33,5.3,0.74,5.3,0.85,1
PB19,-23.905,-69.291,106.5,2.7,2.4,0.61,1.1,0.63,-1.0,3.72,1
AF01,-22.952,-68.179,48.6,5.5,6.4,0.59,2.5,0.55,4.0,2.34,1
