iteration,misfit,a1 (km),a2 (km),theta (x pi),np (frac),tp (x 2pi),dmax (m),vr (km/s)
0,3.142832055023021,6.388880099520794,8.194059721177172,1.1466777856048576,0.40365993091092445,0.06970087751159648,3.154537041679651,2.671758808309355
0,1.9481212900053029,11.023686248384013,11.792056213284827,0.9767251988615036,0.23493266770357268,0.9828979829904747,1.350186815214919,2.1842220540843074
0,1.4553383490956702,11.334706585439658,10.540406346720523,0.6148431948536759,0.20772896980426891,0.6635800105712943,3.862465965386771,0.5333591892685511
0,7.094774841216151,9.793366443318725,7.1933619783112,0.2744968939584782,0.18488055173812934,0.8461994010461932,4.113167769568096,2.0845980416522516
0,3.5279399491320516,6.353673716208063,6.252369847724737,0.3333519358048793,0.9015558447759828,0.5561459871072191,5.407312807928379,3.316523399153712
0,4.409420796011973,9.496416205644332,9.320834536595443,1.906665538415204,0.9962362178685409,0.3171304589904367,4.945156368759711,3.040809824620844
0,1.9329850521684147,5.339654715391512,4.069672447576135,1.8691601608370219,0.24032089667811618,0.84781772998813,3.872083273378249,2.840941151815022
0,1.2652932884151966,5.916360951092958,6.094685750575836,0.9192486157741651,0.1735414354993816,0.023225331309850827,1.0377641354883789,2.5414844247780173
0,2.1778393930736795,11.086894390602065,5.324305690766707,1.7177376001976148,0.2342039599915261,0.1521414172000013,2.416449372658951,2.1702488221851377
0,2.434384274788449,8.07526402215429,6.8231927690033,1.9364534802682059,0.6320558145228816,0.10118879517380819,3.4425299203234023,1.9487209361913922
0,1.842935160235033,11.895807849171991,10.090315668356308,0.9664062075024324,0.5630241577764847,0.5375710843830408,4.743305778593513,1.0536094534385536
0,5.5985348991100645,9.998979325235188,8.827704980617828,0.6921374413151524,0.5011967598297745,0.3938146363723548,4.328702071264239,1.7456205803278881
0,4.045188895069588,6.258628369293591,9.941931850954354,0.6470244091252391,0.5620792584760613,0.4226716704111303,4.371924094689069,1.6524046184181322
0,1.5904288587605167,5.466116535750855,7.605697041894161,0.8512709872606024,0.4929681645971432,0.13047385527626065,1.706780588089035,1.8689471649280776
0,0.7542388120092386,11.523074112413923,12.315132579759796,1.9498738844576995,0.23548204718936505,0.7940646837471994,1.1728531827568236,0.8978286208450121
0,8.617577385919814,8.533452867144753,7.630503405705749,0.671622879843482,0.05340404392065157,0.42039554309452587,5.465169985693796,1.7583499228845425
0,1.5480715817541997,12.465877329557848,12.967581463827685,1.6800078604057938,0.9280133844134218,0.115818374294131,4.956174029516872,0.8003150901660749
0,4.85084644440729,12.986384066976933,8.27753659491381,0.3847052191045126,0.4767036714431021,0.6801821796062925,2.845150415458066,3.475060320529982
0,2.6088280283670042,6.663870808711529,4.52429125060566,0.4623947822717003,0.9631818527622362,0.8089041884489481,4.17225375027316,2.8079386033659124
0,1.952639897710576,4.012495260461188,8.442159378649045,0.8464888290282213,0.10928182935559361,0.3793742962836457,4.8351092928624215,1.0423326436175406
0,15.652435092183845,9.555221883540835,12.865646141751451,1.7561603113342905,0.6961023895327133,0.6990488101162579,4.752483917349515,1.8701406734030086
0,1.0253995713878419,4.58031714754921,12.833983720321337,0.20890107832660942,0.5092630532900189,0.1638819597514669,2.6152427593420358,1.0176160087069266
0,0.9361178565346084,10.354293681293253,10.421418225626184,1.4643361319342982,0.7913822093561855,0.2744625171671228,1.0210648082352438,2.3163902229049813
0,0.7870791380213469,4.79025365749489,6.234468602007828,1.916174926537,0.833118768791912,0.8599513644733482,4.37327645543081,0.6195478324881758
0,10.69848689281865,12.97863665530565,5.668193358541508,1.7373818964106909,0.48481996055004317,0.4582172503036105,5.6880323573459854,2.860073325041613
0,0.9224954242028739,7.834653264568945,4.47252949231061,0.6282276404107223,0.5113107452047979,0.43400235881919724,1.5896000021671473,0.7180332991402795
0,16.368813880466504,12.259328748383076,12.552303311331581,0.5823882353298078,0.6524267338803984,0.8594393505877174,4.246803856576639,3.2417369137333067
0,1.507341078288328,5.077283717832201,5.620721093873922,1.4081198910546773,0.3436400699246033,0.8315003977661234,2.228304235533253,2.08909708936916
0,0.8678791565550827,11.518920587397785,4.0982586985158935,0.6114008718888073,0.45885378952696,0.6409683011725955,4.568299555514487,0.824163213963095
0,1.1958613425654177,4.556103349975861,5.540420555643955,1.8338656580262007,0.6697193769336519,0.1583291437987281,2.111349773841975,1.9940971122891518
1,1.0543817125718205,10.826436074165251,12.423217991259282,1.7479530733745143,0.8025104793325276,0.24326493415525252,1.199451147574815,0.7857986724144412
1,0.8522028762500305,10.87121155534902,12.99611866230523,1.5722194696943683,0.3155065228424747,0.7639180805848206,1.1797146569316226,0.8646104591948246
1,1.0371178393436762,12.574294726025322,12.006488826370012,1.8795492185069482,0.8065423586977061,0.43317716948829166,1.6303181565382163,1.281504388909244
1,0.8170316733575249,10.965039359020176,11.900671084367476,1.9572421261980035,0.1938963014786711,0.2280286179068789,1.5114027578224083,0.8094531935596994
1,1.1230365982337267,11.034215331073229,12.748938272347612,1.8263528919523035,0.48260077993419226,0.6878511112005674,1.8875663404258622,0.5455961501803644
1,2.990229744732448,5.327086179452788,5.869181003196918,1.1237987267070002,0.39180924244615756,0.2850936529820821,5.161976420917159,1.3519367136928866
1,0.9368103596759187,4.0102103464886465,6.1249739530760285,1.4073678563625707,0.9797802127430373,0.7333750529047338,4.3372257842990045,1.2961132178377657
1,0.6087317249081672,4.678155038727982,6.718292596778666,1.2800265916311209,0.17878949826869767,0.918195413890748,4.555022332138293,0.5949675047209386
1,1.9914073946588846,5.186634088119546,7.23333688214709,1.5323621451827183,0.3041432793850876,0.36474278141517547,4.182300031474676,1.2075791544862664
1,2.74749292274431,4.474172461638969,6.454869824620287,1.99268893531787,0.9243934800339346,0.9927716623474148,5.561425758753533,1.4910081443861944
1,1.06344830282281,11.799616865433487,4.266525000885419,0.41997168257600737,0.843329953954299,0.4893495523441056,4.571923420474592,0.7100612778410949
1,2.5542480339457247,11.914465368800842,4.042283950464378,0.15891057810542833,0.04813429533144964,0.03699796018190438,4.3911680644929225,1.4214344830361503
1,1.420634056233582,11.844837990871788,5.020255380824942,0.5024349884502781,0.9243995343390641,0.25577800500598136,3.9680526422798126,0.5378313026490957
1,1.1165395655717119,11.566461723665611,4.866347288381375,1.0944768422691336,0.7500125146150834,0.29222181564623273,4.392499439697653,0.5950510500793518
1,2.4021223795722926,12.045918323674842,4.6638275505321936,0.15630148487323983,0.8423145012512336,0.23537844720374512,5.153397156243569,1.4021360770226745
1,1.0388463912226182,8.343135696734526,4.28510491642171,1.210750763380939,0.7128632599325043,0.22485471999971796,2.187088673899065,1.2087995535983098
1,0.9695923483424325,8.832638631154687,4.064113965408983,0.13181889397143573,0.9063375055457956,0.44263173030800773,1.4159522714897848,0.9979776506749329
1,0.9133848238075623,6.855602649859275,4.056791247116503,0.8546270371865781,0.6590972387049058,0.11887483051641501,1.9021170258563893,0.5283589526544548
1,1.0245713444163298,7.1432701382907755,4.366851776757926,0.20397038549013757,0.9479461882160436,0.9852217012859315,1.6037274890037705,0.5621291315036041
1,1.0783908356214207,7.045715179823259,4.450218708766856,0.25620805801673424,0.8322733713092785,0.07512888702011633,2.2588939228463047,1.314733300832737
1,1.7208730207958782,9.624338766889283,10.855966007150412,1.27172492775794,0.42519445795367,0.2523321209091835,1.6718523153708866,1.7942973029567142
1,1.3247523073083365,10.557553218247433,10.51931245165039,1.9722592769578569,0.3217968130867559,0.11731817401092652,1.1952978684347275,1.8868560706882322
1,0.9890017840681397,10.47729803222985,9.570873649092714,0.8839818474183377,0.6484547164953185,0.864878060745351,1.6286045816610901,2.272577696828268
1,2.3131905909561743,11.098564262990479,10.269321352928023,1.452503994562421,0.22372814211594333,0.3883860696948653,1.7117319976688639,1.690085748946715
1,3.710380878438796,11.033593787176478,11.341766879773704,1.7018597365292916,0.2369827004239209,0.8100520628283325,1.6843864559796338,2.187599959949071
1,0.9153741523012799,4.2294686965629555,12.23248964305852,0.8259763142005456,0.5747960118386302,0.3830942103410688,2.564069202880181,1.1892738961572953
1,1.028214323103919,4.579721343187888,12.382287083359566,0.650178908484896,0.6986183704241101,0.7940776046673415,2.519277710062685,0.8769662892734129
1,0.854892286776764,5.052308039399816,12.164745021105528,0.11555459806100973,0.511405426259193,0.683954038137842,1.9237129868574852,0.7320489519831511
1,0.8003893982769607,4.401236952644582,11.755535627674274,0.7937521876092284,0.2983590967211579,0.2678087358607067,3.5108710345140075,0.6087990815157236
1,0.732747889985668,4.781052821508149,12.138888480397876,0.13945401172095634,0.7740352087497453,0.47293459850403907,3.5245768073017674,1.2440650859115845
1,0.8782036490892454,4.5985007902434045,5.606920039826126,1.6364150647549254,0.6431855564767359,0.2116559375534303,1.703953290722202,1.13808927691803
1,1.2978618610262638,5.028942782759797,5.078223532905676,1.8583582104784613,0.7949332610197659,0.19294593750618105,2.196329606234046,2.5928796536232506
1,1.1260443723071742,5.081494693226279,4.649134609511257,1.6861137710458987,0.7472233395580767,0.08245294920812324,2.7090449810068185,1.5907518987261662
1,1.1332704024924856,4.28052135279591,5.507258093754935,1.8619965622811248,0.7341893498907421,0.12478406550238084,2.0595732107168807,1.733252582921837
1,1.8096256583797223,4.937389183125564,6.084292669964187,1.9037467034870688,0.43225818404174,0.5797626582632257,2.6954173949455025,2.3427578606762993
