iteration,misfit,a1 (km),a2 (km),theta (x pi),np (frac),tp (x 2pi),dmax (m),vr (km/s)
0,1.055009673355957,5.800432263548335,7.220271104930621,0.9819461354541335,0.2937883656393885,0.49100289773814865,1.251569468685643,1.199437940192418
0,1.6464186506148233,9.221046662688764,4.704205958511505,1.7285378868969432,0.6725241069162028,0.05062660053606782,5.623238185074851,1.5303299895326319
0,3.837527995047265,8.965137747111605,10.214943667377382,0.7064076718888588,0.6120251583949955,0.06837299337044445,4.9272292993211995,1.1426721472038572
0,0.8892009978389375,4.226084581922734,8.008922708539744,0.7128411300105062,0.07667261303720663,0.6904125677910653,3.932209813930985,0.596953914420131
0,0.798398135332492,5.187036557693634,6.553566918212367,0.6903000736811109,0.8759514133632639,0.18111433730341853,3.57311412718209,0.9230930736751091
0,5.39517979988349,8.634197127506695,5.93575871902998,0.5038578529650102,0.425348133958972,0.8617180560953959,4.139986686821192,3.073655134214548
0,1.5501816717616752,7.993162052205486,4.563438380358255,0.8403591103897552,0.5455247552729748,0.8949702237066672,1.9541728375293563,3.252019740638975
0,0.9736243822274011,12.212058083666847,4.982712898477451,1.236572076083201,0.7763081900347357,0.49528719494829054,3.0725459637235937,0.5409998918630358
0,3.9106708354921422,4.857524857258178,5.960406620413723,1.3447189544238471,0.7217404280531683,0.527363679677053,5.661784867313184,2.7667320899427903
0,1.6618841791949241,4.2014315510987235,8.513748881552022,0.6570456600716632,0.6326179293314063,0.02202311535546786,2.1327783794991966,2.2338651439305957
0,1.639181675103572,6.463980018108689,11.003907532835347,1.5233853814095084,0.12716935213320513,0.20641680985816413,5.247927163242627,0.5160377940780974
0,4.078910805940828,4.879245118535412,5.938162478943846,1.7082748309409739,0.21769302992559525,0.008395880717325332,5.904689454310448,2.996845512594832
0,0.9635826966894891,5.926693977875477,6.2645697568646135,0.8217720497570711,0.877133707906337,0.660106044070971,1.0385985103902646,2.1601595260471615
0,2.739687882351958,10.60005253039421,12.446680184173012,0.13718223327458157,0.22553303029123883,0.19407395228695723,1.775398598393477,2.0183937332765542
