   1    Infinity   0.000       42.86       31.54       128.5       38.83       2.304       7.892       1.197       1.267       10.39      0.3217    
   1   1.049       427.3       65.29       37.22       125.6       55.93       5.481       19.92       1.318       1.444       6.014      0.4629    
   1   1.008       95.28       34.54       62.53       60.72       57.85       5.989       9.747       1.213       1.189       6.778      0.5923    
   1  0.9579       9208.       58.96       33.77       111.2       56.15       5.630       18.43       1.279       1.075       9.076      0.5725    
   1    Infinity   0.000       27.16       66.84       92.04       112.1      0.8601       11.35       1.327       1.231       10.48      0.2080    
   1    Infinity   0.000       35.50       54.87       75.93       129.2       5.096       11.22       1.441       1.060       8.895      0.3093    
   1   1.026       265.7       34.96       27.81       77.82       84.29       4.045       9.175       1.174       1.073       9.219      0.5177    
   1    Infinity   0.000       29.68       54.84       54.08       79.56       5.895       12.56       1.238       1.060       9.498      0.3113    
   1    Infinity   0.000       25.49       55.53       116.0       41.36       5.478       5.788       1.097       1.059       8.717      0.1377    
   1   1.486       4520.       33.89       41.98       76.36       94.52       4.482       12.35       1.171       1.227       10.72      0.3728    
   1    Infinity   0.000       26.06       29.95       108.7       126.8       6.224       10.85       1.203       1.063       9.890      0.2572    
   1   1.853       3950.       31.24       30.82       91.45       96.85      0.3263       17.82       1.256       1.184       7.950      0.1377    
   1    Infinity   0.000       55.39       33.91       63.12       49.14       2.249       9.290       1.406       1.123       6.872      0.1157    
   1    Infinity   0.000       31.20       51.84       112.1       98.94      0.6176       9.528       1.085       1.093       7.213      0.1691    
   1    Infinity   0.000       38.37       43.66       33.09       109.2       1.528       7.635       1.251       1.090       6.496      0.2621    
   1   1.208       4596.       49.58       30.67       84.13       112.8       1.977       11.91       1.182       1.223       6.044      0.1478    
   1    Infinity   0.000       37.04       31.14       44.66       80.03       1.728       5.104       1.139       1.157       8.131      0.1823    
   1    Infinity   0.000       30.55       44.00       80.00       124.4       1.453       7.322       1.425       1.357       6.365      0.1228    
   1    Infinity   0.000       33.14       44.63       112.3       65.69      0.8597       6.691       1.447       1.177       7.731      0.2343    
   1    Infinity   0.000       30.69       47.52       36.38       56.35       2.915       5.960       1.430       1.160       6.356      0.1837    
   1  0.4627       3186.       50.71       34.29       55.56       87.10       1.798       6.625       1.262       1.127       6.027      0.1486    
   1  0.8531       6120.       60.34       47.76       62.09       86.36       4.554       5.805       1.294       1.168       6.210      0.1091    
   1   1.784       5719.       39.79       52.47       59.43       75.13       1.791       9.061       1.231       1.115       6.113      0.1096    
   1    Infinity   0.000       50.12       36.20       112.7       75.04       1.698       7.393       1.353       1.120       6.077      0.1628    
   1   1.005       62.58       44.06       31.99       82.32       81.81      0.1707       9.553       1.212       1.051       6.030      0.3677    
   1    Infinity   0.000       40.33       43.11       35.16       89.29       3.889       5.633       1.223       1.164       6.793      0.1240    
   1   1.100       1804.       45.75       26.47       90.38       92.89      0.6910       6.586       1.267       1.214       7.460      0.1363    
   1   1.005       61.06       50.17       29.43       51.99       101.4       2.095       6.432       1.374       1.134       7.754      0.3534    
   1    Infinity   0.000       55.58       34.79       38.87       52.50      0.9264E-01   8.462       1.082       1.124       6.100      0.1036    
   1    Infinity   0.000       45.87       30.13       49.05       78.43       2.467       10.01       1.170       1.218       6.829      0.1079    
   1    Infinity   0.000       51.05       34.92       63.17       123.1       2.720       6.143       1.428       1.070       6.292      0.1674    
   1  0.5638       4056.       59.10       39.07       58.13       76.06       1.342       5.444       1.247       1.260       7.203      0.1476    
   1   1.007       75.76       50.70       48.75       60.97       94.08       2.321       6.304       1.379       1.094       6.320      0.1567    
   1    Infinity   0.000       49.25       27.30       74.38       111.6       1.006       7.245       1.240       1.165       6.002      0.1764    
   1   1.025       257.3       47.99       33.11       67.23       62.55       2.250       9.122       1.278       1.203       6.419      0.2359    
   1    Infinity   0.000       50.47       37.55       34.08       111.6       2.223       12.64       1.360       1.111       6.173      0.1402    
   1    Infinity   0.000       50.82       29.70       34.91       111.9       2.930       5.147       1.278       1.268       6.322      0.1475    
